MSOA,x0_10,x10_20,x20_30,x30_40,x40_50,x50_60,x60_70,x70_80,x80_90,x90_100
W02000001,943,810,807,795,887,1369,1337,1043,364,47
W02000002,604,510,473,556,614,1024,1087,1044,399,56
W02000003,1556,1352,1273,1336,1293,1396,1116,906,349,56
W02000004,714,735,626,635,851,1145,1135,1067,416,77
W02000005,689,747,601,681,892,1218,1362,1283,578,114
W02000006,1008,838,732,824,857,905,893,633,305,47
W02000007,893,711,754,817,819,1013,823,696,303,65
W02000008,563,560,627,656,660,871,825,717,363,109
W02000009,923,801,733,799,937,1261,1143,952,407,79
W02000010,522,2586,2944,681,432,548,387,346,145,35
W02000011,1177,1143,1287,1067,989,1059,731,584,273,66
W02000012,1033,928,882,1046,1105,1224,965,699,267,54
W02000013,772,713,723,817,869,839,764,608,268,55
W02000014,738,775,794,794,898,1089,727,634,243,42
W02000015,1215,996,1099,1107,924,1091,900,750,351,83
W02000016,755,680,712,706,733,947,831,626,298,84
W02000017,933,863,770,784,926,1181,967,773,310,65
W02000018,743,676,669,631,688,947,793,597,288,52
W02000019,658,642,606,659,694,956,972,917,464,90
W02000020,675,645,564,585,719,1029,944,833,385,102
W02000021,835,848,788,839,944,1154,990,841,426,85
W02000022,509,488,455,472,586,857,941,847,346,54
W02000023,563,509,509,446,540,852,802,678,317,70
W02000024,595,608,528,574,727,910,824,591,263,60
W02000025,618,601,554,610,673,958,972,738,333,67
W02000026,538,580,534,557,688,1115,1225,1081,527,111
W02000027,693,700,881,922,941,1299,1232,1041,544,166
W02000028,742,768,601,633,734,970,867,858,444,96
W02000029,529,520,450,555,619,907,908,917,487,102
W02000030,527,489,423,506,595,789,934,968,533,118
W02000031,849,860,762,771,875,1256,1267,1072,390,67
W02000032,844,767,683,916,853,1223,1255,1132,591,120
W02000033,868,783,886,780,798,969,803,646,343,83
W02000034,795,845,722,861,892,1225,1069,779,394,83
W02000035,1148,1080,871,1059,1076,1312,1099,826,365,56
W02000036,1166,946,1130,1098,1053,1556,1638,1726,841,137
W02000037,948,738,841,919,828,998,858,736,283,43
W02000038,591,648,525,630,747,1010,910,797,306,50
W02000039,844,734,808,864,940,1281,1082,877,339,67
W02000040,667,672,562,607,797,1150,1096,733,262,57
W02000041,961,784,867,845,1001,1445,1168,951,410,82
W02000042,627,559,570,555,555,817,892,836,398,42
W02000043,590,572,549,509,597,798,660,627,272,71
W02000044,542,497,476,491,576,776,783,799,309,60
W02000045,1216,1137,1167,1034,1042,1238,1086,1001,494,155
W02000047,964,917,656,713,654,687,492,350,118,14
W02000049,789,751,656,679,817,1060,856,747,272,33
W02000050,700,641,693,696,779,950,815,758,314,35
W02000051,491,508,500,529,630,821,737,724,290,73
W02000052,656,574,624,565,610,767,592,406,173,40
W02000053,682,690,600,679,746,993,847,705,316,55
W02000054,579,619,546,520,687,1101,1022,736,273,50
W02000055,662,699,584,592,680,802,667,631,309,69
W02000056,615,549,473,504,631,877,715,593,199,29
W02000057,606,553,548,597,726,1022,897,848,347,88
W02000058,498,483,484,472,525,971,786,623,233,46
W02000059,794,751,646,672,816,1041,928,629,259,38
W02000060,1416,1260,1307,1358,1276,1610,1177,897,379,72
W02000061,1068,868,1121,1183,854,917,787,528,233,70
W02000062,653,664,670,723,789,949,768,621,220,50
W02000063,691,793,678,713,978,1434,1326,1037,427,47
W02000064,773,757,828,855,772,808,618,488,189,35
W02000065,885,783,913,971,958,1010,810,646,248,48
W02000066,1322,1103,1223,1511,1245,1317,1036,647,361,75
W02000067,821,798,712,785,871,1040,739,719,297,44
W02000068,565,459,585,698,669,854,623,517,190,36
W02000069,678,655,602,657,828,1029,750,745,269,42
W02000070,1146,1280,930,1181,1477,1652,1330,1122,442,58
W02000071,692,700,688,712,934,973,951,992,352,48
W02000072,1519,1225,1580,1809,1468,1594,1178,913,338,46
W02000073,1205,1125,1158,1073,1254,1437,1221,1046,547,85
W02000074,1214,1056,1120,1419,1214,1446,952,956,396,86
W02000075,843,683,594,901,872,909,727,662,219,32
W02000076,736,730,713,681,877,1290,976,954,311,49
W02000077,604,740,572,627,790,977,713,677,293,50
W02000080,1035,1002,796,1095,1033,1096,852,710,225,26
W02000081,871,650,682,766,769,833,666,514,167,33
W02000082,1081,897,928,1125,1032,1052,745,575,195,36
W02000083,1237,935,1091,1260,1056,1142,939,680,283,65
W02000085,845,947,1016,1057,1017,1277,1100,1052,505,105
W02000087,1219,1062,839,975,815,838,560,392,137,33
W02000088,1035,876,1342,1387,1187,1111,802,603,276,58
W02000089,1241,935,1196,1350,1125,1151,809,536,232,45
W02000090,728,687,577,665,700,853,754,515,195,25
W02000091,752,668,678,814,704,929,755,578,274,44
W02000092,816,832,833,868,855,949,728,579,212,59
W02000093,784,719,714,741,881,1034,795,632,215,37
W02000094,1195,1098,995,1106,1087,1286,941,817,320,47
W02000095,650,663,488,609,757,1079,985,806,305,48
W02000096,731,675,627,652,796,1017,917,670,304,67
W02000097,941,903,763,875,1056,1490,1423,1256,505,96
W02000098,613,633,567,607,726,1027,920,755,362,55
W02000099,752,701,869,697,743,950,810,678,357,76
W02000100,608,586,548,589,726,1044,980,747,309,68
W02000101,539,529,544,492,633,875,792,738,346,45
W02000102,605,622,563,559,693,1034,954,791,275,51
W02000103,557,567,528,512,651,964,875,790,290,61
W02000104,618,650,723,720,724,856,831,682,334,55
W02000105,821,730,714,669,599,652,471,326,142,38
W02000106,635,628,560,614,674,1055,1063,829,381,53
W02000107,895,881,833,845,947,1529,1709,1448,587,96
W02000108,729,641,618,638,683,1054,1251,1058,473,75
W02000109,593,531,539,599,609,791,792,717,361,73
W02000110,667,674,606,634,752,1088,1113,906,346,57
W02000111,786,774,713,792,949,1392,1333,1167,459,91
W02000113,937,792,1095,1024,921,1053,1010,884,432,94
W02000114,611,665,483,550,782,1090,1223,1019,439,76
W02000116,776,745,721,789,784,1246,996,842,386,74
W02000117,408,2773,2938,630,525,572,507,389,197,41
W02000118,758,932,1119,771,698,772,617,523,230,33
W02000120,647,608,665,663,718,1108,1161,1033,377,90
W02000122,575,509,507,530,652,1034,1184,948,335,53
W02000123,826,801,758,727,833,1200,1125,967,373,70
W02000124,955,837,793,859,873,1249,1259,1189,547,120
W02000125,676,679,604,660,722,1240,1335,1069,389,80
W02000126,838,841,716,784,867,1276,1359,1092,404,49
W02000127,1015,946,857,887,1006,1413,1558,1280,571,97
W02000128,652,717,713,631,781,1147,1164,976,387,71
W02000129,830,709,619,722,803,1199,999,888,393,60
W02000130,965,816,965,863,802,893,654,476,244,30
W02000131,920,833,847,855,768,1009,867,699,331,76
W02000132,698,696,646,695,784,1102,1035,879,375,77
W02000133,830,819,692,850,839,1343,1287,1068,467,77
W02000134,877,874,750,794,1004,1368,1215,1028,372,61
W02000135,978,839,835,865,819,981,898,763,322,54
W02000136,718,737,616,712,884,1355,1344,1244,591,99
W02000137,1047,857,906,994,779,978,915,615,320,38
W02000138,1228,1150,1240,1155,1068,1347,1153,899,343,64
W02000139,723,698,622,698,827,1195,1280,1164,439,78
W02000140,978,826,779,838,850,1007,942,737,267,56
W02000141,486,553,505,512,631,898,881,819,420,85
W02000142,585,546,568,575,561,903,790,713,279,44
W02000143,519,550,451,512,545,936,944,771,290,54
W02000144,650,742,638,697,793,1292,1273,1040,418,62
W02000145,639,730,562,657,814,1210,1135,866,388,88
W02000146,573,655,526,584,755,1150,1061,865,322,33
W02000147,1018,1146,1006,1026,1088,1133,986,721,307,46
W02000148,705,638,656,685,604,642,668,483,187,21
W02000149,705,536,764,800,680,790,795,863,432,85
W02000151,937,782,781,820,862,1124,1015,740,297,56
W02000152,992,958,744,947,1041,1153,1184,1070,458,103
W02000153,874,862,774,842,973,1363,1422,1068,417,77
W02000154,945,910,835,900,937,1081,949,814,393,86
W02000156,996,902,918,1009,1044,1232,1069,841,356,54
W02000157,1259,985,1066,1268,1163,1491,1339,1021,436,75
W02000158,713,614,647,757,685,872,763,611,195,35
W02000159,749,690,587,642,692,950,863,737,244,39
W02000160,874,844,692,804,926,1109,955,963,405,71
W02000161,615,660,589,615,578,764,603,478,228,59
W02000162,747,899,743,722,921,1328,1203,1107,450,86
W02000163,676,641,564,712,673,695,596,479,241,62
W02000164,822,732,893,867,859,1069,1004,740,382,61
W02000165,864,813,793,846,782,932,714,539,247,54
W02000166,1350,1071,1166,1286,1072,1189,963,713,284,70
W02000167,1396,1207,1354,1385,1271,1412,1109,780,331,65
W02000168,812,831,690,898,819,908,693,563,271,34
W02000169,1075,1042,964,1118,1048,1315,1192,952,385,47
W02000170,905,946,1004,1051,1046,1218,1135,952,376,47
W02000171,1117,923,911,1140,1189,1277,908,688,257,38
W02000172,1295,1219,1166,1381,1285,1436,1108,865,409,78
W02000173,1046,951,977,1185,1104,1043,822,540,187,42
W02000174,1181,988,1040,1240,1152,1299,1201,1078,407,52
W02000175,866,739,995,1013,938,1067,769,614,287,59
W02000176,1112,940,910,1151,1007,1209,1063,1051,441,65
W02000177,931,785,870,967,854,1022,709,575,252,32
W02000178,1618,1360,1126,1344,1092,1021,724,460,147,24
W02000179,596,765,686,634,833,989,850,756,311,57
W02000180,1185,1075,996,1072,969,1020,805,597,259,31
W02000181,921,817,1218,1036,769,900,723,587,322,104
W02000182,873,851,978,1020,956,1038,916,585,267,42
W02000183,1195,1485,1710,1490,1195,1244,980,591,267,54
W02000184,781,709,777,922,825,1032,769,579,314,58
W02000185,490,499,436,500,596,736,822,648,255,47
W02000186,1763,1217,1273,1255,975,1012,700,420,201,20
W02000188,976,1018,1513,1061,927,962,787,555,251,30
W02000189,905,835,814,980,1042,1191,1019,865,486,107
W02000191,661,1379,2113,1051,904,965,792,553,286,70
W02000192,545,1080,2459,1437,928,975,843,576,242,38
W02000193,453,1822,3168,724,648,704,555,437,248,57
W02000194,562,1424,662,576,642,724,722,714,416,101
W02000195,507,627,327,473,701,814,862,894,469,116
W02000196,634,631,508,664,719,840,877,869,448,84
W02000197,480,642,374,393,689,971,993,941,476,78
W02000198,616,732,512,591,883,1115,1105,1008,581,124
W02000200,606,567,500,634,597,733,722,527,221,34
W02000201,606,590,551,623,621,785,619,577,264,36
W02000202,1471,1329,1454,1450,1588,1790,1548,1237,497,82
W02000204,575,716,613,679,824,1017,935,866,328,57
W02000205,542,593,574,587,674,914,765,717,309,53
W02000206,732,685,778,815,716,948,875,659,320,77
W02000207,515,506,540,569,562,829,791,653,240,42
W02000208,1530,2785,1595,1699,1403,1358,1036,885,360,67
W02000210,807,774,771,741,800,918,665,491,187,26
W02000211,1072,858,1017,1092,843,1099,887,630,279,50
W02000212,903,836,888,969,906,1204,980,738,282,37
W02000213,710,729,682,840,881,895,847,732,360,69
W02000214,1252,1203,1045,1248,1070,1242,1312,768,404,113
W02000215,1261,1036,1167,1298,1071,1330,1160,735,347,54
W02000216,835,749,901,941,825,1090,862,628,298,59
W02000217,805,769,731,760,859,945,691,570,239,25
W02000218,953,812,838,818,781,925,743,554,231,12
W02000219,762,856,788,831,925,1088,953,668,272,44
W02000220,1020,912,979,1002,965,1157,892,735,288,42
W02000221,1033,916,978,992,923,1170,818,596,232,27
W02000222,641,731,672,637,719,850,841,722,313,44
W02000223,760,576,698,789,794,955,677,501,219,36
W02000224,856,692,864,943,780,914,674,554,198,26
W02000225,1113,1051,994,1148,1018,1375,1011,806,325,48
W02000226,1129,1124,1023,1149,1308,1506,1219,1121,400,44
W02000227,1065,876,827,1040,896,980,773,679,237,43
W02000228,1699,992,2299,2427,1571,1254,829,722,318,48
W02000229,722,670,677,756,705,932,770,597,243,46
W02000230,596,535,557,668,706,859,735,674,312,35
W02000231,1032,838,1011,1219,1103,1124,878,710,357,55
W02000232,665,575,694,755,671,999,686,485,195,23
W02000233,840,709,761,865,753,866,686,487,207,34
W02000234,1363,1356,1024,1367,1630,1596,1162,748,324,67
W02000235,703,786,729,744,985,1461,1431,1355,798,178
W02000236,600,657,582,589,828,1168,1117,941,402,75
W02000237,715,599,443,631,787,1009,935,729,246,33
W02000238,720,680,379,589,780,905,940,996,462,99
W02000239,858,812,739,873,947,1378,1075,964,324,38
W02000240,1171,1112,815,1173,1254,1252,949,814,397,54
W02000241,1102,1016,972,1214,1463,1422,1263,1030,549,138
W02000242,955,764,761,927,983,1170,1040,1016,524,75
W02000243,1475,1226,1149,1347,1002,1243,874,681,320,41
W02000244,1211,1176,841,1010,1346,1431,1324,1143,576,108
W02000245,1090,990,975,1133,1116,1185,963,598,212,19
W02000246,454,485,410,520,577,824,919,767,298,56
W02000247,868,1105,764,913,1014,1280,1163,1051,452,69
W02000248,1606,1300,1440,1615,1308,1383,1026,666,260,43
W02000249,1133,969,1023,1192,1167,1179,944,662,364,129
W02000250,1489,1367,1395,1515,1385,1658,1447,934,379,57
W02000251,1526,1026,1522,1676,1321,1404,1245,879,358,80
W02000252,1169,1152,969,1084,1036,1270,1138,1020,266,80
W02000253,774,661,975,812,818,1017,750,614,274,73
W02000254,941,876,967,959,1014,1143,878,791,313,62
W02000255,815,780,752,856,855,1014,847,664,286,43
W02000256,1421,1045,1378,1338,1154,1330,1045,855,403,34
W02000257,827,845,918,913,832,1044,841,699,288,46
W02000258,742,620,688,672,624,795,767,523,218,42
W02000259,787,738,707,765,640,784,611,472,204,40
W02000260,679,616,664,657,631,795,745,649,226,24
W02000261,831,904,922,879,919,1140,873,765,360,53
W02000262,659,652,646,623,618,766,613,484,211,25
W02000263,873,753,823,907,714,876,745,504,172,14
W02000264,825,648,777,758,641,803,601,469,185,20
W02000265,1186,1039,1238,1160,1064,1229,1063,805,352,58
W02000266,989,873,912,1065,850,1126,823,606,216,35
W02000267,814,775,810,860,743,809,672,574,241,35
W02000268,993,963,1118,1217,1024,1252,1126,765,390,62
W02000269,983,991,979,1070,1008,1111,941,727,333,52
W02000270,788,663,871,913,786,930,772,567,243,55
W02000271,714,591,660,740,619,804,604,507,193,28
W02000272,1132,1038,1334,1329,1178,1472,1040,900,419,81
W02000273,1188,1811,2447,1458,973,937,734,630,208,36
W02000274,1281,1238,1243,1348,1292,1537,1035,808,351,46
W02000275,726,677,763,762,714,854,667,611,251,32
W02000276,852,656,675,901,751,739,793,810,289,45
W02000277,766,653,812,954,907,1038,814,652,285,65
W02000278,1053,1104,879,1093,1407,1320,1024,781,248,30
W02000279,991,864,992,1073,857,1178,910,646,209,23
W02000280,1427,1091,1084,1517,1219,1290,1005,711,211,26
W02000281,801,818,677,842,1090,1110,952,803,316,50
W02000282,1496,1420,1062,1465,1767,1565,1245,1021,372,50
W02000284,1218,981,1220,1294,1124,1349,1061,788,291,30
W02000285,1032,834,877,1149,981,1226,1032,774,366,62
W02000286,873,811,776,967,812,911,782,516,250,32
W02000287,1014,920,1019,1114,1049,1198,915,736,282,43
W02000288,1008,808,1063,1097,865,1189,943,732,322,45
W02000289,1049,956,1009,1222,1010,1289,1054,777,269,45
W02000290,1014,907,1032,1108,977,1345,1019,799,308,30
W02000291,883,828,898,881,829,1035,767,641,287,40
W02000292,784,678,739,767,684,787,680,459,205,32
W02000293,843,626,819,800,620,880,642,547,232,34
W02000294,606,563,610,630,655,857,804,591,251,34
W02000295,1210,1122,1051,1249,1200,1375,1061,877,329,35
W02000296,888,824,875,874,956,1029,882,739,281,47
W02000297,903,784,965,914,892,1117,912,721,259,21
W02000298,799,898,831,856,977,988,806,680,275,37
W02000299,728,739,673,769,708,913,755,659,248,49
W02000300,983,997,887,1059,1045,1124,1037,825,348,74
W02000301,1034,934,1016,1134,958,1118,938,579,202,19
W02000302,1216,1101,1054,1305,1276,1384,1123,993,442,57
W02000303,883,735,905,1038,929,1028,776,559,222,37
W02000304,669,565,667,721,697,808,615,537,188,26
W02000305,758,644,745,815,713,938,687,579,244,29
W02000306,541,517,584,582,668,813,615,518,204,54
W02000307,984,804,798,952,801,838,654,475,174,25
W02000308,1101,1034,1032,1183,1017,1299,1037,745,298,34
W02000309,799,733,747,851,825,952,828,712,271,52
W02000310,716,627,518,606,737,807,620,462,177,15
W02000311,1304,1123,1073,1404,1160,1269,1141,940,329,30
W02000312,825,850,778,879,897,971,956,738,300,33
W02000313,1381,1181,1143,1419,1552,1467,1146,850,421,70
W02000314,794,681,746,765,783,981,840,704,282,40
W02000315,620,528,664,633,586,818,640,498,216,45
W02000316,789,683,778,802,802,1008,846,679,243,33
W02000317,967,794,1006,933,974,1201,844,752,275,42
W02000318,1144,1005,1048,1155,1000,1510,1033,857,314,36
W02000319,965,836,992,1103,953,1205,930,755,281,52
W02000320,953,864,1119,1054,1035,1228,872,693,279,34
W02000321,1048,884,1113,1117,1020,1257,1058,720,347,54
W02000322,763,654,848,934,806,992,799,616,223,33
W02000323,780,719,759,785,712,830,626,540,233,39
W02000324,981,829,866,868,801,1026,795,594,251,31
W02000325,1111,936,977,927,815,1026,783,530,219,25
W02000326,1078,914,1063,1095,1073,1341,1038,879,341,45
W02000327,582,548,537,602,657,874,843,855,343,53
W02000328,859,781,865,979,942,1084,896,693,324,51
W02000329,998,852,1116,1089,943,1162,929,604,297,62
W02000330,781,736,708,831,810,999,876,793,476,70
W02000331,989,882,830,951,750,768,694,417,180,11
W02000332,1062,765,1033,1140,864,962,811,641,306,60
W02000333,763,720,746,804,716,907,749,595,219,23
W02000334,739,692,679,809,819,1049,886,666,216,33
W02000335,876,698,888,986,804,1160,989,732,345,58
W02000336,735,691,760,837,946,1393,1317,1152,529,125
W02000337,951,873,796,877,900,1115,906,800,356,64
W02000338,914,773,687,917,983,1343,1225,1034,566,86
W02000339,1182,1332,1024,1072,1321,1632,1352,1307,683,139
W02000340,636,651,522,587,798,1252,1208,1003,390,83
W02000341,651,684,711,783,1028,1445,1334,1099,511,64
W02000342,906,960,634,760,1241,1675,1436,1221,433,95
W02000343,904,844,1001,1114,1046,1298,858,716,310,87
W02000344,902,832,765,894,1030,1447,1232,964,380,60
W02000345,1000,850,871,979,890,1107,965,844,450,73
W02000346,847,880,902,855,1052,1343,900,673,247,47
W02000347,817,792,826,847,967,1259,1069,924,385,84
W02000348,867,787,846,876,909,1080,877,897,413,53
W02000349,1283,995,1151,1125,935,1189,598,708,272,38
W02000350,1349,969,1233,1492,1137,1495,1088,784,353,40
W02000351,979,693,711,828,752,848,711,485,219,49
W02000352,975,784,886,1086,785,924,700,413,196,47
W02000353,946,792,1071,1116,916,960,712,485,190,32
W02000354,630,586,657,688,625,891,708,586,367,59
W02000355,1443,1168,1055,1463,1371,1287,1078,923,382,67
W02000356,806,816,651,764,498,715,473,302,213,32
W02000357,1134,890,1345,1248,1107,1081,814,425,196,33
W02000358,748,616,720,841,869,926,706,681,327,56
W02000359,2066,1313,2142,2146,1476,1249,866,371,153,22
W02000360,658,643,1095,1225,919,866,597,497,205,76
W02000361,1782,1500,1724,1722,1287,1492,1051,759,417,36
W02000362,925,733,790,976,922,976,669,711,248,35
W02000363,683,579,612,775,636,865,687,622,265,52
W02000364,1574,1319,1513,1666,1120,878,651,354,182,31
W02000365,1428,1273,1087,1323,1045,1023,696,480,181,52
W02000366,1092,972,810,1072,1373,1268,897,655,235,59
W02000367,647,625,562,620,737,937,862,698,315,92
W02000368,659,567,739,733,770,883,719,450,151,29
W02000369,1528,1018,1614,1655,1435,1207,781,426,115,14
W02000370,717,637,454,703,792,956,881,776,525,101
W02000371,1234,949,993,1334,1152,1149,1013,783,373,122
W02000372,1119,1019,681,976,1322,1197,846,782,293,50
W02000373,1061,969,838,1033,770,901,811,400,175,37
W02000374,753,747,449,601,833,752,705,717,289,51
W02000375,1184,1154,957,1053,985,744,601,432,167,40
W02000376,865,729,676,817,934,990,792,538,268,47
W02000377,1163,951,1136,1213,933,1028,727,401,197,36
W02000378,944,863,686,983,972,977,872,741,381,69
W02000379,1178,1085,789,973,806,731,513,281,98,12
W02000380,917,849,774,953,1016,1125,1056,877,281,51
W02000381,970,798,812,917,767,835,736,401,232,56
W02000382,1015,773,803,907,559,757,531,351,229,44
W02000383,1127,1087,849,1037,1035,861,663,621,192,21
W02000384,716,571,564,720,787,809,705,537,238,56
W02000385,864,1298,589,734,897,813,715,547,354,79
W02000386,915,749,577,819,1032,1167,976,818,436,99
W02000387,752,731,612,804,692,798,701,505,256,47
W02000388,673,648,646,758,647,876,709,553,250,45
W02000389,1152,1093,992,1261,1111,1139,879,562,215,32
W02000390,639,1065,543,578,772,732,725,676,408,98
W02000391,718,3517,2202,1018,693,519,366,237,129,23
W02000392,913,1102,882,949,1132,1241,1141,916,401,98
W02000393,1059,755,923,1016,768,862,629,400,202,33
W02000394,398,2619,4582,750,397,318,245,143,97,16
W02000395,941,637,1024,1017,963,785,647,405,199,46
W02000396,599,1154,2445,1215,813,572,362,248,108,12
W02000397,740,814,663,889,778,1005,729,489,282,51
W02000398,306,4543,5619,792,336,249,193,130,77,18
W02000399,680,1476,4253,1554,935,787,540,321,173,47
W02000400,559,493,1273,1072,861,878,613,385,124,31
W02000401,735,581,739,905,890,832,604,436,185,34
W02000402,1230,2221,3272,1995,1091,926,492,258,102,16
W02000403,1320,997,1208,1376,1019,852,591,281,119,24
W02000404,840,602,1170,1198,739,815,531,302,135,13
W02000405,1759,1245,1039,1126,776,849,530,345,127,22
W02000406,1441,1075,1776,1822,1341,1114,840,471,260,55
W02000407,1168,981,780,866,775,829,600,430,187,31
W02000408,1050,1031,1477,1393,969,698,480,231,110,21
W02000409,983,708,804,858,610,792,621,444,228,28
W02000410,1226,1418,1698,1432,1090,845,473,294,141,25
W02000411,945,944,861,927,809,851,649,384,185,41
W02000412,1037,838,1070,1189,839,789,584,362,145,25
W02000414,573,509,427,556,700,1057,1025,782,302,52
W02000415,1499,1233,1183,1281,1012,1252,967,656,227,46
W02000416,1149,1001,967,1119,1167,1591,1465,1190,591,103
W02000417,1274,1072,1119,1310,1224,1486,1330,963,339,70
W02000418,1306,1182,994,1275,1369,1964,1932,1511,625,93
W02000419,1487,1201,1226,1321,1266,1586,1469,1197,541,61
W02000421,1129,1204,983,1079,1300,1901,1704,1413,650,121
W02000422,611,272,2805,1797,685,560,394,199,59,6
W02000423,1024,1250,3095,1814,899,747,569,344,245,40
W02000424,587,623,588,639,813,1041,992,929,389,78
W02000425,735,777,1101,1226,1268,1302,890,728,262,49
W02000426,1134,1025,974,1058,1248,1375,1285,1169,554,68
W02000427,1282,1281,1322,1253,1370,1605,1437,1073,449,66
W02000428,1037,1458,991,1125,1158,1497,1242,1290,613,85
