Middle Layer Super Output Areas Code,MiddleLayerSuperOutputAreasLabel,Does not apply,Never married and never registered a civil partnership,Married: Opposite sex,Married: Same sex,In a registered civil partnership: Opposite sex,In a registered civil partnership: Same sex,"Separated, but still married","Separated, but still in a registered civil partnership",Divorced,Formerly in a civil partnership now legally dissolved,Widowed,Surviving partner from civil partnership
W02000001,Blaenau Gwent 001,1352,2284,3315,4,4,13,149,1,785,2,495,0
W02000002,Blaenau Gwent 002,884,1408,2922,3,10,12,81,0,523,0,519,1
W02000003,Blaenau Gwent 003,2319,3636,2840,21,1,6,204,1,1005,1,597,0
W02000004,Blaenau Gwent 004,1103,1776,3203,12,4,8,125,1,607,1,559,1
W02000005,Blaenau Gwent 005,1097,1929,3637,10,6,9,115,0,727,0,629,4
W02000006,Blaenau Gwent 006,1465,2076,2377,1,6,4,107,0,582,0,421,1
W02000007,Blaenau Gwent 007,1288,1941,2523,20,0,8,116,0,559,1,439,0
W02000008,Blaenau Gwent 008,856,1655,2330,4,6,3,69,0,514,1,513,0
W02000009,Blaenau Gwent 009,1366,2143,3249,10,0,18,96,0,646,4,500,0
W02000010,Bridgend 001,694,6072,1144,8,8,2,69,1,387,0,232,0
W02000011,Bridgend 002,1747,2931,2608,14,6,13,142,0,513,0,403,0
W02000012,Bridgend 003,1525,2765,2697,12,10,10,99,1,640,0,449,0
W02000013,Bridgend 004,1156,2045,2308,10,2,4,81,0,447,0,371,1
W02000014,Bridgend 005,1162,2363,2165,15,14,12,111,0,543,0,355,0
W02000015,Bridgend 006,1798,2843,2573,11,5,8,118,0,664,2,493,0
W02000016,Bridgend 007,1127,1889,2369,8,6,5,89,0,470,1,394,1
W02000017,Bridgend 008,1411,2314,2687,6,0,5,104,0,607,0,441,1
W02000018,Bridgend 009,1098,2017,1938,6,2,10,112,0,540,0,355,0
W02000019,Bridgend 010,1026,1920,2438,14,10,10,121,0,573,0,548,0
W02000020,Bridgend 011,1032,1678,2674,12,6,15,93,0,490,1,482,0
W02000021,Bridgend 012,1330,2337,2759,13,4,7,123,0,644,1,536,1
W02000022,Bridgend 013,775,1433,2277,19,6,12,88,0,500,1,437,2
W02000023,Bridgend 014,842,1429,2195,7,4,7,58,0,349,0,391,3
W02000024,Bridgend 015,940,1640,2153,15,2,11,94,0,451,1,372,1
W02000025,Bridgend 016,924,1837,2299,13,4,5,91,0,546,0,406,0
W02000026,Bridgend 017,839,1732,2925,16,4,15,112,4,670,1,637,2
W02000027,Bridgend 018,1040,2698,2716,17,4,15,197,1,974,2,753,3
W02000028,Bridgend 019,1147,1889,2387,11,8,6,92,2,619,0,548,0
W02000029,Caerphilly 001,805,1335,2676,11,2,4,79,1,531,0,554,4
W02000030,Caerphilly 002,780,1322,2442,16,0,8,110,1,606,1,598,0
W02000031,Caerphilly 003,1320,2204,3086,19,4,10,175,0,717,1,636,0
W02000032,Caerphilly 004,1291,1956,3534,20,2,7,123,2,765,1,683,2
W02000033,Caerphilly 005,1278,2360,1961,5,0,6,179,0,744,1,418,0
W02000034,Caerphilly 006,1270,2024,3008,20,2,8,137,1,712,1,483,0
W02000035,Caerphilly 007,1739,2540,3116,26,4,14,157,1,820,2,476,0
W02000036,Caerphilly 008,1721,2815,4490,34,10,21,219,0,1068,1,903,4
W02000037,Caerphilly 009,1340,2095,2549,17,2,8,137,0,635,0,412,0
W02000038,Caerphilly 010,934,1673,2529,20,2,2,94,0,578,0,373,1
W02000039,Caerphilly 011,1271,2276,2779,19,6,12,163,0,790,3,518,0
W02000040,Caerphilly 012,1043,1690,2934,15,0,3,87,0,443,1,379,0
