msoa11,depression,alzheimers,bloodPressure,hypertension,diabeties,cardiovascularDisease,insomnia,addiction,socialAnxiety,loneliness
E02004631,9217,277,15567,15642,1111,11282,523,0,62,2927.07692307692
E02006029,60,1,24,28,1,5,12,6,0,8.69230769230769
W02000001,21564,220,30069,30490,3543,16997,2785,0,139,5815.30769230769
W02000003,47167,438,49374,49581,7680,36957,3092,0,673,4391.36363636364
W02000005,24368,553,32415,32974,4737,25198,1968,0,116,3453.76923076923
W02000006,14053,363,14195,14434,2637,9670,1402,2870,96,1747.26923076923
W02000007,4879,87,5478,5505,1498,3263,148,0,0,1183.07692307692
W02000008,14831,310,24337,24591,3432,13975,1199,0,16,4487.53846153846
W02000009,11006,223,17357,17453,3228,11765,1574,0,97,1740.34615384615
W02000010,30651,161,22375,22643,3923,16677,2623,88,227,2952.53846153846
W02000011,237,0,67,67,13,27,17,0,1,16.4090909090909
W02000012,12351,73,13835,13887,2070,7543,1585,57,22,2889.69230769231
W02000013,11414,185,14541,14646,1949,8755,1552,0,35,2961.61538461538
W02000014,8999,85,11810,11956,2054,6557,1069,0,64,2363.07692307692
W02000015,26206,524,32367,32617,3982,21320,3494,1,101,2448.44444444444
W02000016,13072,108,12450,12542,3114,12136,1156,3794,61,1177.48717948718
W02000017,13117,216,19116,19326,3415,11555,808,0,35,3725.92307692308
W02000018,10780,83,10347,10419,1891,7563,1407,0,557,2472.53846153846
W02000019,1,0,5,5,0,3,0,0,0,0.473684210526316
W02000020,14617,316,21411,21589,2704,15127,919,0,637,4251.69230769231
W02000021,22596,278,27314,27619,4684,17045,2617,0,176,2878.42307692308
W02000022,11958,291,20659,20830,2448,13269,1262,2,99,3850.76923076923
W02000023,5514,77,11881,11966,1017,7481,992,0,26,2080.53846153846
W02000024,7075,133,11245,11267,2125,9995,649,0,29,2403.38461538462
W02000025,16556,274,23799,24025,2733,15386,846,0,151,2300.76923076923
W02000026,9561,213,17796,18002,2418,11520,839,0,61,3273.30769230769
W02000027,45275,1043,56583,57084,7221,38461,3451,3,777,5866.84615384615
W02000028,4206,131,6186,6230,634,4307,134,0,120,625.68
W02000029,10578,473,18095,18250,2008,11559,782,0,66,3357.69230769231
W02000031,22735,208,25647,25803,3075,15985,921,0,60,5286.69230769231
W02000033,0,0,0,0,0,0,0,187,0,14.3846153846154
W02000034,37029,768,43612,43929,3733,25365,1459,1,373,4318.61538461538
W02000035,24980,147,21538,21686,2539,13782,862,0,97,4922.76923076923
W02000036,41376,462,50538,50792,7722,28725,3107,0,378,10168
W02000037,4679,33,6293,6323,1034,4053,77,2,146,1246.23076923077
W02000038,24323,300,36869,37226,3947,21827,1328,1,205,2340.84210526316
W02000039,14126,164,19368,19501,2440,10806,1186,0,36,3709.46153846154
W02000040,3952,72,4392,4404,822,4281,309,0,0,1064.61538461538
W02000041,15165,291,21689,21822,2491,12395,1272,0,83,1444.21621621622
W02000043,66961,979,76839,77516,9071,52176,2751,69,390,8058.57692307692
